,grado,lambda,MSE_entrenamiento_OLS,MSE_entrenamiento_ridge,MSE_prueba_OLS,MSE_prueba_ridge
166,2.0,0.66,0.4621871976939597,0.6749954160416185,1.4784646016971357,1.1499655307994228
167,2.0,0.67,0.4621871976939597,0.6794234802515005,1.4784646016971357,1.1507051320491255
168,2.0,0.68,0.4621871976939597,0.6838592420698526,1.4784646016971357,1.1514879129896691
169,2.0,0.6900000000000001,0.4621871976939597,0.6883022132165167,1.4784646016971357,1.1523117014763213
170,2.0,0.7000000000000001,0.4621871976939597,0.6927519255604099,1.4784646016971357,1.1531744165746134
171,2.0,0.71,0.4621871976939597,0.6972079302818845,1.4784646016971357,1.1540740647312064
172,2.0,0.72,0.4621871976939597,0.7016697970723721,1.4784646016971357,1.1550087361159205
173,2.0,0.73,0.4621871976939597,0.7061371133695105,1.4784646016971357,1.1559766011266561
174,2.0,0.74,0.4621871976939597,0.7106094836260461,1.4784646016971357,1.156975907049328
175,2.0,0.75,0.4621871976939597,0.7150865286109083,1.4784646016971357,1.1580049748653938
176,2.0,0.76,0.4621871976939597,0.7195678847408566,1.4784646016971357,1.1590621961998455
177,2.0,0.77,0.4621871976939597,0.7240532034413296,1.4784646016971357,1.1601460304030404
178,2.0,0.78,0.4621871976939597,0.7285421505350761,1.4784646016971357,1.1612550017600174
179,2.0,0.79,0.4621871976939597,0.733034405657223,1.4784646016971357,1.1623876968212175
180,2.0,0.8,0.4621871976939597,0.7375296616956217,1.4784646016971357,1.1635427618489884
181,2.0,0.81,0.4621871976939597,0.7420276242551989,1.4784646016971357,1.1647189003743508
182,2.0,0.8200000000000001,0.4621871976939597,0.7465280111452859,1.4784646016971357,1.165914870859003
183,2.0,0.8300000000000001,0.4621871976939597,0.7510305518887815,1.4784646016971357,1.1671294844575604
184,2.0,0.84,0.4621871976939597,0.7555349872521984,1.4784646016971357,1.1683616028754797
185,2.0,0.85,0.4621871976939597,0.760041068795603,1.4784646016971357,1.1696101363182108
186,2.0,0.86,0.4621871976939597,0.76454855844155,1.4784646016971357,1.1708740415274208
187,2.0,0.87,0.4621871976939597,0.7690572280621566,1.4784646016971357,1.172152319900316
188,2.0,0.88,0.4621871976939597,0.7735668590834583,1.4784646016971357,1.1734440156882364
